Var_1,target
"0     -2.1597
1     -2.1756
2     -2.1656
3     -2.1010
4     -2.0227
        ...  
246   -1.9688
247   -2.0088
248   -2.0832
249   -2.1211
250   -2.0965
Length: 251, dtype: float64",2
"0     -2.1448
1     -2.1654
2     -2.1562
3     -2.0793
4     -2.0127
        ...  
246   -1.9802
247   -2.0476
248   -2.0384
249   -2.0468
250   -2.0995
Length: 251, dtype: float64",0
"0     -1.6320
1     -1.6301
2     -1.6075
3     -1.6038
4     -1.5762
        ...  
246   -1.6238
247   -1.6250
248   -1.6302
249   -1.6316
250   -1.6323
Length: 251, dtype: float64",1
"0     -2.2551
1     -2.2337
2     -2.2292
3     -2.2215
4     -2.1699
        ...  
246   -2.1368
247   -2.2045
248   -2.2320
249   -2.2571
250   -2.2397
Length: 251, dtype: float64",2
"0     -1.8289
1     -1.8415
2     -1.8063
3     -1.8032
4     -1.7810
        ...  
246   -1.8065
247   -1.8455
248   -1.8358
249   -1.8388
250   -1.8251
Length: 251, dtype: float64",0
"0     -2.0043
1     -1.9856
2     -1.9533
3     -1.9336
4     -1.8935
        ...  
246   -1.8933
247   -1.9335
248   -1.9695
249   -2.0178
250   -2.0040
Length: 251, dtype: float64",1
"0     -1.8293
1     -1.8324
2     -1.8226
3     -1.8099
4     -1.7941
        ...  
246   -1.7041
247   -1.7260
248   -1.7645
249   -1.7977
250   -1.8124
Length: 251, dtype: float64",2
"0     -2.1310
1     -2.1095
2     -2.0842
3     -2.0555
4     -2.0298
        ...  
246   -2.0277
247   -2.0804
248   -2.1041
249   -2.1682
250   -2.1512
Length: 251, dtype: float64",0
"0     -1.8976
1     -1.8961
2     -1.8432
3     -1.8201
4     -1.7766
        ...  
246   -1.7874
247   -1.8161
248   -1.8740
249   -1.8944
250   -1.8971
Length: 251, dtype: float64",1
"0     -1.6737
1     -1.6715
2     -1.6602
3     -1.6349
4     -1.6061
        ...  
246   -1.5768
247   -1.6097
248   -1.6362
249   -1.6612
250   -1.6625
Length: 251, dtype: float64",2
"0     -2.1308
1     -2.1044
2     -2.0748
3     -2.0254
4     -1.9449
        ...  
246   -1.9445
247   -2.0030
248   -2.0341
249   -2.0800
250   -2.1034
Length: 251, dtype: float64",0
"0     -1.8803
1     -1.8627
2     -1.8497
3     -1.8332
4     -1.7979
        ...  
246   -1.7759
247   -1.8145
248   -1.8485
249   -1.8640
250   -1.8799
Length: 251, dtype: float64",1
"0     -1.8010
1     -1.7989
2     -1.7784
3     -1.7594
4     -1.7011
        ...  
246   -1.7172
247   -1.7591
248   -1.7965
249   -1.7985
250   -1.8010
Length: 251, dtype: float64",2
"0     -1.9078
1     -1.9049
2     -1.8886
3     -1.8712
4     -1.8317
        ...  
246   -1.8154
247   -1.8537
248   -1.9063
249   -1.9241
250   -1.9251
Length: 251, dtype: float64",0
"0     -1.8299
1     -1.8085
2     -1.7958
3     -1.7666
4     -1.7508
        ...  
246   -1.7334
247   -1.7613
248   -1.8034
249   -1.8432
250   -1.8275
Length: 251, dtype: float64",0
"0     -1.8016
1     -1.7757
2     -1.7285
3     -1.6567
4     -1.5865
        ...  
246   -1.6902
247   -1.7080
248   -1.7302
249   -1.7715
250   -1.7800
Length: 251, dtype: float64",0
"0     -1.8857
1     -1.8552
2     -1.8452
3     -1.8088
4     -1.7321
        ...  
246   -1.9359
247   -1.9408
248   -1.8987
249   -1.9340
250   -1.8825
Length: 251, dtype: float64",0
"0     -1.9591
1     -1.9749
2     -1.9714
3     -1.9672
4     -1.9433
        ...  
246   -1.8764
247   -1.9104
248   -1.8957
249   -1.9250
250   -1.9309
Length: 251, dtype: float64",0
"0     -1.9894
1     -2.0265
2     -2.0035
3     -1.9755
4     -1.9418
        ...  
246   -1.8682
247   -1.9056
248   -1.9374
249   -1.9640
250   -1.9655
Length: 251, dtype: float64",0
"0     -1.8538
1     -1.8492
2     -1.8341
3     -1.8181
4     -1.7992
        ...  
246   -1.7686
247   -1.8042
248   -1.8200
249   -1.8501
250   -1.8512
Length: 251, dtype: float64",0
"0     -1.8234
1     -1.8055
2     -1.7932
3     -1.7491
4     -1.7351
        ...  
246   -1.7010
247   -1.7188
248   -1.7491
249   -1.8093
250   -1.8216
Length: 251, dtype: float64",0
"0     -2.0484
1     -2.0432
2     -1.9759
3     -1.9394
4     -1.9003
        ...  
246   -2.1371
247   -2.1424
248   -2.1351
249   -2.1100
250   -2.0613
Length: 251, dtype: float64",0
"0     -1.4921
1     -1.4536
2     -1.4228
3     -1.3153
4     -1.2044
        ...  
246   -1.6235
247   -1.6302
248   -1.5856
249   -1.5401
250   -1.5039
Length: 251, dtype: float64",0
"0     -2.0336
1     -2.0052
2     -1.9754
3     -1.9453
4     -1.8532
        ...  
246   -1.8944
247   -1.9294
248   -1.9690
249   -1.9718
250   -2.0031
Length: 251, dtype: float64",0
"0     -2.0974
1     -2.0639
2     -1.9819
3     -1.9262
4     -1.8771
        ...  
246   -2.0874
247   -2.0927
248   -2.0958
249   -2.1186
250   -2.0959
Length: 251, dtype: float64",0
"0     -1.9551
1     -1.9544
2     -1.9378
3     -1.8663
4     -1.8085
        ...  
246   -1.8379
247   -1.8621
248   -1.9013
249   -1.9535
250   -1.9376
Length: 251, dtype: float64",0
"0     -2.1395
1     -2.1189
2     -2.1044
3     -2.0377
4     -1.9766
        ...  
246   -2.1097
247   -2.1345
248   -2.1369
249   -2.1339
250   -2.1300
Length: 251, dtype: float64",0
"0     -1.9134
1     -1.9116
2     -1.8902
3     -1.8888
4     -1.8449
        ...  
246   -1.9101
247   -1.9322
248   -1.9538
249   -1.9375
250   -1.9396
Length: 251, dtype: float64",0
"0     -1.8295
1     -1.8238
2     -1.8101
3     -1.8047
4     -1.7882
        ...  
246   -1.7222
247   -1.7594
248   -1.7759
249   -1.8088
250   -1.8110
Length: 251, dtype: float64",0
"0     -0.79626
1     -0.77368
2     -0.66440
3     -0.61933
4     -0.56085
        ...   
246   -0.81401
247   -0.84210
248   -0.93925
249   -0.93440
250   -0.86740
Length: 251, dtype: float64",0
"0     -2.1788
1     -2.1751
2     -2.1550
3     -2.0924
4     -2.0631
        ...  
246   -2.0392
247   -2.0704
248   -2.0970
249   -2.1402
250   -2.1763
Length: 251, dtype: float64",0
"0     -1.9501
1     -1.9645
2     -1.9495
3     -1.8984
4     -1.8431
        ...  
246   -1.8053
247   -1.8452
248   -1.8834
249   -1.9150
250   -1.9302
Length: 251, dtype: float64",0
"0     -1.9190
1     -1.8946
2     -1.8713
3     -1.8432
4     -1.7885
        ...  
246   -1.7550
247   -1.8078
248   -1.8400
249   -1.8908
250   -1.9128
Length: 251, dtype: float64",0
"0     -1.8624
1     -1.8624
2     -1.8427
3     -1.8389
4     -1.8125
        ...  
246   -1.7156
247   -1.7428
248   -1.7931
249   -1.8010
250   -1.8223
Length: 251, dtype: float64",0
"0     -1.8127
1     -1.8257
2     -1.7844
3     -1.7617
4     -1.6966
        ...  
246   -1.7150
247   -1.7797
248   -1.8055
249   -1.8248
250   -1.8278
Length: 251, dtype: float64",0
"0     -2.0112
1     -2.0073
2     -1.9806
3     -1.9553
4     -1.9010
        ...  
246   -1.9486
247   -1.9806
248   -2.0073
249   -2.0287
250   -2.0110
Length: 251, dtype: float64",0
"0     -1.8597
1     -1.8517
2     -1.8003
3     -1.7979
4     -1.7741
        ...  
246   -1.8382
247   -1.8602
248   -1.8632
249   -1.8637
250   -1.8626
Length: 251, dtype: float64",0
"0     -1.8682
1     -1.8688
2     -1.8862
3     -1.8262
4     -1.7810
        ...  
246   -1.8161
247   -1.8450
248   -1.8664
249   -1.8711
250   -1.8740
Length: 251, dtype: float64",0
"0     -1.8541
1     -1.8339
2     -1.8187
3     -1.8027
4     -1.7836
        ...  
246   -1.8204
247   -1.8392
248   -1.8547
249   -1.8550
250   -1.8692
Length: 251, dtype: float64",0
"0     -1.9412
1     -1.9387
2     -1.9353
3     -1.8760
4     -1.8537
        ...  
246   -1.8660
247   -1.8938
248   -1.9150
249   -1.9554
250   -1.9407
Length: 251, dtype: float64",0
"0     -2.5471
1     -2.5494
2     -2.4694
3     -2.3852
4     -2.2816
        ...  
246   -2.1057
247   -2.2102
248   -2.3431
249   -2.4450
250   -2.4901
Length: 251, dtype: float64",0
"0     -1.9564
1     -1.9531
2     -1.9314
3     -1.8652
4     -1.8131
        ...  
246   -1.8999
247   -1.9479
248   -1.9730
249   -1.9762
250   -1.9575
Length: 251, dtype: float64",0
"0     -1.8392
1     -1.8314
2     -1.8125
3     -1.7706
4     -1.7432
        ...  
246   -1.8128
247   -1.8496
248   -1.8359
249   -1.8202
250   -1.8387
Length: 251, dtype: float64",0
"0     -1.9204
1     -1.9015
2     -1.8864
3     -1.8678
4     -1.8133
        ...  
246   -1.7512
247   -1.7945
248   -1.8678
249   -1.9019
250   -1.9039
Length: 251, dtype: float64",0
"0     -1.9608
1     -1.9304
2     -1.8643
3     -1.8122
4     -1.7740
        ...  
246   -1.8492
247   -1.8849
248   -1.9529
249   -1.9595
250   -1.9976
Length: 251, dtype: float64",0
"0     -1.8955
1     -1.8963
2     -1.8802
3     -1.8965
4     -1.8756
        ...  
246   -1.6552
247   -1.7084
248   -1.7752
249   -1.8361
250   -1.8736
Length: 251, dtype: float64",0
"0     -1.8004
1     -1.7989
2     -1.7826
3     -1.7650
4     -1.7261
        ...  
246   -1.7030
247   -1.7448
248   -1.7656
249   -1.8160
250   -1.8001
Length: 251, dtype: float64",0
"0     -2.0417
1     -2.0572
2     -2.0522
3     -2.0291
4     -1.9790
        ...  
246   -1.8966
247   -1.9478
248   -1.9948
249   -2.0175
250   -2.0206
Length: 251, dtype: float64",0
"0     -1.9701
1     -2.0057
2     -2.0216
3     -2.0004
4     -1.9159
        ...  
246   -1.8444
247   -1.8958
248   -1.9429
249   -1.9459
250   -1.9681
Length: 251, dtype: float64",0
"0     -1.9298
1     -1.9371
2     -1.8988
3     -1.8533
4     -1.8262
        ...  
246   -1.8384
247   -1.8606
248   -1.8984
249   -1.9022
250   -1.9231
Length: 251, dtype: float64",0
"0     -2.0220
1     -2.0166
2     -2.0074
3     -1.9806
4     -1.9431
        ...  
246   -1.9610
247   -1.9686
248   -1.9963
249   -1.9999
250   -2.0206
Length: 251, dtype: float64",0
"0     -2.1322
1     -2.1192
2     -2.0902
3     -2.0461
4     -1.9757
        ...  
246   -1.9499
247   -1.9955
248   -2.0860
249   -2.0954
250   -2.1253
Length: 251, dtype: float64",0
"0     -2.0226
1     -1.9880
2     -1.9542
3     -1.9188
4     -1.8492
        ...  
246   -1.7466
247   -1.8585
248   -1.9331
249   -1.9735
250   -2.0490
Length: 251, dtype: float64",0
"0     -2.0324
1     -2.0386
2     -2.0182
3     -1.9927
4     -1.8874
        ...  
246   -1.8288
247   -1.8760
248   -1.9208
249   -1.9837
250   -1.9845
Length: 251, dtype: float64",0
"0     -1.9294
1     -1.9454
2     -1.9300
3     -1.9288
4     -1.8923
        ...  
246   -1.8129
247   -1.8742
248   -1.8754
249   -1.8926
250   -1.9091
Length: 251, dtype: float64",0
"0     -1.9921
1     -2.0144
2     -1.9611
3     -1.9606
4     -1.9579
        ...  
246   -1.7645
247   -1.8433
248   -1.8973
249   -1.9223
250   -1.9687
Length: 251, dtype: float64",0
"0     -1.8037
1     -1.7824
2     -1.7849
3     -1.7503
4     -1.7333
        ...  
246   -1.6888
247   -1.7221
248   -1.7690
249   -1.7845
250   -1.7856
Length: 251, dtype: float64",0
"0     -1.1879
1     -1.2171
2     -1.1856
3     -1.1967
4     -1.1821
        ...  
246   -1.0107
247   -1.0660
248   -1.0965
249   -1.1628
250   -1.1529
Length: 251, dtype: float64",0
"0     -1.3076
1     -1.3171
2     -1.3128
3     -1.3306
4     -1.3074
        ...  
246   -1.3328
247   -1.3291
248   -1.3191
249   -1.3306
250   -1.3268
Length: 251, dtype: float64",0
"0     -1.8552
1     -1.8490
2     -1.8452
3     -1.8411
4     -1.7877
        ...  
246   -1.7956
247   -1.8001
248   -1.8501
249   -1.8520
250   -1.8757
Length: 251, dtype: float64",0
"0     -1.4233
1     -1.3883
2     -1.3233
3     -1.3359
4     -1.2685
        ...  
246   -1.3535
247   -1.3509
248   -1.3706
249   -1.3657
250   -1.4045
Length: 251, dtype: float64",0
"0     -1.9434
1     -1.8579
2     -1.8503
3     -1.7718
4     -1.7203
        ...  
246   -1.6167
247   -1.7139
248   -1.7457
249   -1.8158
250   -1.8787
Length: 251, dtype: float64",0
"0     -1.7647
1     -1.7483
2     -1.6966
3     -1.6896
4     -1.6400
        ...  
246   -1.7364
247   -1.7381
248   -1.7350
249   -1.7337
250   -1.7287
Length: 251, dtype: float64",0
"0     -2.1500
1     -2.1001
2     -2.0710
3     -2.0518
4     -1.9995
        ...  
246   -1.9035
247   -2.0109
248   -2.0944
249   -2.1585
250   -2.1624
Length: 251, dtype: float64",0
"0     -2.0147
1     -2.0311
2     -1.9471
3     -1.8823
4     -1.8309
        ...  
246   -1.9091
247   -1.9570
248   -1.9901
249   -1.9913
250   -2.0109
Length: 251, dtype: float64",0
"0     -1.9858
1     -1.9843
2     -1.9625
3     -1.9595
4     -1.9529
        ...  
246   -1.7676
247   -1.7784
248   -1.8606
249   -1.8915
250   -1.9376
Length: 251, dtype: float64",0
"0     -2.0146
1     -2.0107
2     -1.9874
3     -2.0054
4     -2.0434
        ...  
246   -1.7701
247   -1.8390
248   -1.9016
249   -1.9785
250   -1.9831
Length: 251, dtype: float64",0
"0     -1.9851
1     -1.9847
2     -1.9656
3     -1.9450
4     -1.8828
        ...  
246   -1.9104
247   -1.9387
248   -1.9631
249   -1.9646
250   -1.9840
Length: 251, dtype: float64",0
"0     -1.9399
1     -1.9377
2     -1.9112
3     -1.8814
4     -1.8801
        ...  
246   -1.8430
247   -1.8814
248   -1.9151
249   -1.9426
250   -1.9531
Length: 251, dtype: float64",0
"0     -1.9915
1     -2.0092
2     -1.9920
3     -1.9741
4     -1.9171
        ...  
246   -1.7593
247   -1.8099
248   -1.8740
249   -1.8955
250   -1.9360
Length: 251, dtype: float64",0
"0     -1.8031
1     -1.8010
2     -1.7880
3     -1.7425
4     -1.6930
        ...  
246   -1.6962
247   -1.7145
248   -1.7447
249   -1.7720
250   -1.7899
Length: 251, dtype: float64",0
"0     -2.0632
1     -2.0564
2     -2.0319
3     -2.0010
4     -1.9851
        ...  
246   -1.9918
247   -2.0433
248   -2.0711
249   -2.0957
250   -2.0795
Length: 251, dtype: float64",0
"0     -1.9969
1     -2.0076
2     -2.0010
3     -1.9206
4     -1.8561
        ...  
246   -2.0110
247   -1.9955
248   -1.9985
249   -1.9777
250   -1.9975
Length: 251, dtype: float64",0
"0     -1.9674
1     -1.9672
2     -1.9512
3     -1.9138
4     -1.8754
        ...  
246   -1.8069
247   -1.8527
248   -1.9121
249   -1.9486
250   -1.9507
Length: 251, dtype: float64",0
"0     -1.9618
1     -1.9802
2     -1.9783
3     -1.9755
4     -1.9318
        ...  
246   -1.8767
247   -1.9074
248   -1.9341
249   -1.9366
250   -1.9412
Length: 251, dtype: float64",0
"0     -1.9471
1     -1.9405
2     -1.9224
3     -1.8804
4     -1.8347
        ...  
246   -1.8445
247   -1.8665
248   -1.9226
249   -1.9435
250   -1.9442
Length: 251, dtype: float64",0
"0     -2.0341
1     -2.0299
2     -1.9880
3     -1.9656
4     -1.9381
        ...  
246   -1.9826
247   -2.0272
248   -2.0303
249   -2.0323
250   -2.0149
Length: 251, dtype: float64",0
"0     -2.0124
1     -2.0086
2     -1.9854
3     -1.9366
4     -1.9301
        ...  
246   -1.8957
247   -1.9495
248   -1.9748
249   -2.0228
250   -2.0276
Length: 251, dtype: float64",0
"0     -1.6931
1     -1.7078
2     -1.6863
3     -1.6958
4     -1.6710
        ...  
246   -1.5256
247   -1.6073
248   -1.6696
249   -1.6900
250   -1.6993
Length: 251, dtype: float64",0
"0     -2.0145
1     -1.9922
2     -1.9520
3     -1.9072
4     -1.8774
        ...  
246   -1.8957
247   -1.9457
248   -1.9906
249   -2.0324
250   -2.0333
Length: 251, dtype: float64",0
"0     -1.8025
1     -1.7615
2     -1.7225
3     -1.6774
4     -1.6659
        ...  
246   -1.7315
247   -1.7166
248   -1.7619
249   -1.8031
250   -1.8032
Length: 251, dtype: float64",0
"0     -1.9245
1     -1.9210
2     -1.9066
3     -1.8743
4     -1.8389
        ...  
246   -1.7746
247   -1.8274
248   -1.8617
249   -1.8906
250   -1.9049
Length: 251, dtype: float64",0
"0     -1.7998
1     -1.7987
2     -1.7942
3     -1.7903
4     -1.7549
        ...  
246   -1.7360
247   -1.7654
248   -1.7967
249   -1.7986
250   -1.8001
Length: 251, dtype: float64",1
"0     -1.8482
1     -1.8459
2     -1.8368
3     -1.8050
4     -1.7723
        ...  
246   -1.7864
247   -1.8032
248   -1.8359
249   -1.8223
250   -1.8256
Length: 251, dtype: float64",1
"0     -1.7458
1     -1.7574
2     -1.7168
3     -1.6849
4     -1.6559
        ...  
246   -1.6980
247   -1.7097
248   -1.7357
249   -1.7595
250   -1.7610
Length: 251, dtype: float64",1
"0     -1.7289
1     -1.6855
2     -1.6324
3     -1.6129
4     -1.5842
        ...  
246   -1.7847
247   -1.7827
248   -1.7463
249   -1.7417
250   -1.7301
Length: 251, dtype: float64",1
"0     -1.8132
1     -1.8255
2     -1.8166
3     -1.8025
4     -1.7866
        ...  
246   -1.6177
247   -1.6687
248   -1.7403
249   -1.7732
250   -1.8038
Length: 251, dtype: float64",1
"0     -1.8914
1     -1.8894
2     -1.8531
3     -1.8143
4     -1.7935
        ...  
246   -1.7222
247   -1.7697
248   -1.7920
249   -1.8335
250   -1.8712
Length: 251, dtype: float64",1
"0     -1.7216
1     -1.7366
2     -1.7190
3     -1.7159
4     -1.7119
        ...  
246   -1.6292
247   -1.6934
248   -1.6974
249   -1.7196
250   -1.7214
Length: 251, dtype: float64",1
"0     -1.8888
1     -1.8850
2     -1.8562
3     -1.8170
4     -1.7798
        ...  
246   -1.7926
247   -1.8027
248   -1.8352
249   -1.8873
250   -1.8880
Length: 251, dtype: float64",1
"0     -1.9129
1     -1.9080
2     -1.8846
3     -1.8447
4     -1.8166
        ...  
246   -1.8440
247   -1.8726
248   -1.8934
249   -1.9119
250   -1.9279
Length: 251, dtype: float64",1
"0     -1.6700
1     -1.6623
2     -1.6382
3     -1.6311
4     -1.6265
        ...  
246   -1.5886
247   -1.6387
248   -1.6416
249   -1.6654
250   -1.6662
Length: 251, dtype: float64",1
"0     -2.0399
1     -2.0382
2     -2.0384
3     -1.9941
4     -2.0317
        ...  
246   -1.9927
247   -2.0041
248   -2.0140
249   -2.0281
250   -2.0331
Length: 251, dtype: float64",1
"0     -1.9186
1     -1.9088
2     -1.8903
3     -1.8190
4     -1.7170
        ...  
246   -1.8749
247   -1.8781
248   -1.8591
249   -1.8795
250   -1.8980
Length: 251, dtype: float64",1
"0     -1.5431
1     -1.5391
2     -1.5353
3     -1.5402
4     -1.5332
        ...  
246   -1.5410
247   -1.5737
248   -1.5393
249   -1.5416
250   -1.5423
Length: 251, dtype: float64",1
"0     -1.9692
1     -1.9847
2     -1.9578
3     -1.9558
4     -1.9297
        ...  
246   -1.8015
247   -1.8685
248   -1.8954
249   -1.9440
250   -1.9464
Length: 251, dtype: float64",1
"0     -1.8994
1     -1.8974
2     -1.8389
3     -1.8290
4     -1.7974
        ...  
246   -1.8415
247   -1.8644
248   -1.8697
249   -1.8880
250   -1.9047
Length: 251, dtype: float64",1
"0     -1.7624
1     -1.7583
2     -1.7420
3     -1.7062
4     -1.6833
        ...  
246   -1.6895
247   -1.7082
248   -1.7422
249   -1.7618
250   -1.7455
Length: 251, dtype: float64",1
"0     -2.0157
1     -2.0006
2     -1.9911
3     -1.9484
4     -1.9365
        ...  
246   -1.9220
247   -1.9733
248   -1.9890
249   -2.0167
250   -2.0157
Length: 251, dtype: float64",1
"0     -1.8289
1     -1.8160
2     -1.8127
3     -1.7750
4     -1.7453
        ...  
246   -1.7537
247   -1.7838
248   -1.8149
249   -1.8388
250   -1.8391
Length: 251, dtype: float64",1
"0     -2.0313
1     -2.0266
2     -2.0147
3     -1.9376
4     -1.8565
        ...  
246   -2.1194
247   -2.1209
248   -2.1201
249   -2.0492
250   -2.0439
Length: 251, dtype: float64",1
"0     -1.7642
1     -1.7860
2     -1.7585
3     -1.7553
4     -1.6991
        ...  
246   -1.7473
247   -1.7519
248   -1.7593
249   -1.7615
250   -1.7636
Length: 251, dtype: float64",1
"0     -1.7560
1     -1.7418
2     -1.7000
3     -1.6801
4     -1.6949
        ...  
246   -1.6755
247   -1.6915
248   -1.7218
249   -1.7653
250   -1.7541
Length: 251, dtype: float64",1
"0     -2.0963
1     -2.0763
2     -2.0575
3     -2.0221
4     -1.9846
        ...  
246   -1.9685
247   -2.0175
248   -2.0558
249   -2.0897
250   -2.1074
Length: 251, dtype: float64",1
"0     -2.0374
1     -2.0400
2     -2.0374
3     -1.9757
4     -1.9678
        ...  
246   -1.9452
247   -2.0144
248   -2.0246
249   -2.0323
250   -2.0374
Length: 251, dtype: float64",1
"0     -2.0123
1     -2.0103
2     -1.9794
3     -1.9607
4     -1.8851
        ...  
246   -1.8686
247   -1.9255
248   -1.9791
249   -2.0100
250   -2.0126
Length: 251, dtype: float64",1
"0     -1.8608
1     -1.8576
2     -1.8176
3     -1.7920
4     -1.7444
        ...  
246   -1.7764
247   -1.7981
248   -1.8389
249   -1.8598
250   -1.8612
Length: 251, dtype: float64",1
"0     -1.8737
1     -1.8547
2     -1.8149
3     -1.7900
4     -1.7251
        ...  
246   -1.8376
247   -1.8433
248   -1.8678
249   -1.8726
250   -1.8750
Length: 251, dtype: float64",1
"0     -1.8284
1     -1.8393
2     -1.8025
3     -1.8020
4     -1.8287
        ...  
246   -1.7607
247   -1.7717
248   -1.8214
249   -1.8265
250   -1.8344
Length: 251, dtype: float64",1
"0     -2.3110
1     -2.3084
2     -2.2969
3     -2.2458
4     -2.1841
        ...  
246   -2.1959
247   -2.2292
248   -2.2827
249   -2.3262
250   -2.3147
Length: 251, dtype: float64",1
"0     -2.1468
1     -2.1483
2     -2.1332
3     -2.0753
4     -2.0414
        ...  
246   -1.9978
247   -2.0563
248   -2.0753
249   -2.1191
250   -2.1440
Length: 251, dtype: float64",1
"0     -2.0262
1     -2.0080
2     -1.9726
3     -1.9502
4     -1.8681
        ...  
246   -1.8273
247   -1.8910
248   -1.9700
249   -2.0227
250   -2.0580
Length: 251, dtype: float64",1
"0     -1.7891
1     -1.8011
2     -1.7694
3     -1.7522
4     -1.7138
        ...  
246   -1.6971
247   -1.7357
248   -1.7859
249   -1.7847
250   -1.7870
Length: 251, dtype: float64",1
"0     -1.9503
1     -1.9472
2     -1.9191
3     -1.8937
4     -1.8626
        ...  
246   -1.8233
247   -1.8381
248   -1.8732
249   -1.8763
250   -1.9251
Length: 251, dtype: float64",1
"0     -1.7646
1     -1.7415
2     -1.7190
3     -1.7129
4     -1.7023
        ...  
246   -1.6993
247   -1.7086
248   -1.7350
249   -1.7603
250   -1.7617
Length: 251, dtype: float64",1
